name,infolink
Brüggener Str.,https://www.kvb.koeln/haltestellen/overview/62/
Brühl Mitte,https://www.kvb.koeln/haltestellen/overview/735/
Brühl Nord,https://www.kvb.koeln/haltestellen/overview/734/
Brühl Süd,https://www.kvb.koeln/haltestellen/overview/736/
Brühl Vochem,https://www.kvb.koeln/haltestellen/overview/738/
Brühler Str./Gürtel,https://www.kvb.koeln/haltestellen/overview/74/
Brühler Straße,https://www.kvb.koeln/haltestellen/overview/689/
Buchforst S-Bahn,https://www.kvb.koeln/haltestellen/overview/779/
Buchforst Waldecker Str.,https://www.kvb.koeln/haltestellen/overview/569/
Buchheim Frankfurter Str.,https://www.kvb.koeln/haltestellen/overview/577/
Buchheim Herler Str.,https://www.kvb.koeln/haltestellen/overview/578/
Buchheimer Weg,https://www.kvb.koeln/haltestellen/overview/535/
Bugenhagenstr.,https://www.kvb.koeln/haltestellen/overview/941/
Bundesrechnungshof/A. Amt,https://www.kvb.koeln/haltestellen/overview/684/
Bunsenstr.,https://www.kvb.koeln/haltestellen/overview/137/
Burgwiesenstr.,https://www.kvb.koeln/haltestellen/overview/591/
Buschdorf,https://www.kvb.koeln/haltestellen/overview/695/
Buschfeldstr.,https://www.kvb.koeln/haltestellen/overview/590/
Buschweg,https://www.kvb.koeln/haltestellen/overview/302/
Butzweilerstr.,https://www.kvb.koeln/haltestellen/overview/250/
Bückebergstr.,https://www.kvb.koeln/haltestellen/overview/550/
Bürgeramt Rodenkirchen,https://www.kvb.koeln/haltestellen/overview/980/
Bürgerpark Mülheim,https://www.kvb.koeln/haltestellen/overview/870/
Böcklinstr.,https://www.kvb.koeln/haltestellen/overview/199/
Bödinger Str.,https://www.kvb.koeln/haltestellen/overview/98/
Börnestr.,https://www.kvb.koeln/haltestellen/overview/300/
Campingplatz Rodenkirchen (nur Sommerferien),https://www.kvb.koeln/haltestellen/overview/115/
Carl-Goerdeler-Str.,https://www.kvb.koeln/haltestellen/overview/728/
Carlswerkstr.,https://www.kvb.koeln/haltestellen/overview/911/
Celsiusstr.,https://www.kvb.koeln/haltestellen/overview/909/
Chempark S-Bahn,https://www.kvb.koeln/haltestellen/overview/814/
Cheruskerstr.,https://www.kvb.koeln/haltestellen/overview/792/
Chlodwigplatz,https://www.kvb.koeln/haltestellen/overview/18/
Chorbuschstr.,https://www.kvb.koeln/haltestellen/overview/376/
Chorweiler,https://www.kvb.koeln/haltestellen/overview/385/
Chorweiler Nord,https://www.kvb.koeln/haltestellen/overview/9574/
